Date,Amount,Category,Description
2026-03-25,150,Food,Hostel mess lunch
2026-03-25,80,Transport,Auto to college
2026-03-26,400,Shopping,Amazon headphones cover
2026-03-26,60,Food,Evening samosa
2026-03-27,250,Entertainment,Movie with friends
2026-03-28,120,Food,Cafe coffee
2026-03-29,50,Others,Stationery pen
2026-03-30,600,Shopping,Myntra T‑shirt
2026-03-31,200,Transport,Metro card recharge
2026-04-01,300,Food,Swiggy burger
2026-04-02,100,Food,College canteen
2026-04-02,150,Transport,Uber to coaching
2026-04-03,500,Education,Books and notes
2026-04-04,220,Food,Pizza with friends
2026-04-05,90,Others,Mobile recharge